iter	Passed	Remaining
0	57	57043
1	57	28701
2	58	19279
3	58	14539
4	58	11703
5	59	9825
6	59	8482
7	60	7454
8	60	6666
9	60	6034
10	61	5523
11	61	5101
12	62	4733
13	62	4429
14	63	4149
15	63	3912
16	63	3699
17	64	3514
18	64	3342
19	65	3205
20	65	3070
21	66	2942
22	66	2830
23	67	2725
24	67	2634
25	68	2549
26	68	2465
27	68	2387
28	69	2318
29	69	2251
30	70	2191
31	70	2133
32	70	2080
33	71	2030
34	71	1980
35	72	1932
36	72	1890
37	73	1849
38	73	1810
39	73	1770
40	74	1737
41	74	1700
42	75	1670
43	75	1642
44	75	1612
45	76	1584
46	76	1556
47	77	1527
48	77	1502
49	77	1480
50	78	1458
51	78	1436
52	79	1417
53	79	1395
54	80	1375
55	80	1357
56	80	1339
57	81	1320
58	81	1303
59	82	1286
60	82	1270
61	82	1253
62	83	1239
63	83	1224
64	83	1208
65	84	1195
66	85	1184
67	85	1171
68	86	1160
69	86	1148
70	86	1136
71	87	1124
72	87	1113
73	88	1103
74	88	1092
75	88	1080
76	89	1070
77	89	1061
78	90	1051
79	90	1042
80	90	1032
81	91	1023
82	91	1012
83	92	1003
84	92	995
85	92	986
86	93	977
87	93	970
88	94	962
89	94	955
90	94	947
91	95	942
92	95	933
93	96	926
94	96	917
95	96	911
96	97	904
97	97	898
98	97	891
99	98	884
100	98	878
101	99	873
102	99	868
103	100	863
104	100	856
105	100	850
106	101	847
107	101	841
108	102	836
109	102	832
110	103	827
111	103	822
112	104	817
113	104	813
114	104	808
115	105	803
116	105	797
117	106	794
118	106	789
119	107	786
120	107	781
121	107	776
122	108	772
123	108	768
124	109	764
125	109	761
126	110	756
127	110	752
128	110	748
129	111	745
130	111	740
131	111	736
132	112	732
133	112	729
134	113	725
135	113	721
136	114	718
137	114	715
138	114	711
139	115	707
140	115	705
141	116	701
142	116	698
143	116	694
144	117	691
145	117	687
146	117	684
147	118	682
148	118	679
149	119	675
150	119	672
151	119	669
152	120	667
153	120	664
154	121	661
155	121	659
156	122	656
157	122	653
158	123	651
159	123	648
160	123	644
161	124	642
162	124	638
163	124	636
164	125	633
165	125	631
166	125	628
167	126	625
168	126	622
169	127	620
170	127	619
171	128	617
172	128	614
173	129	612
174	129	610
175	130	608
176	130	606
177	130	604
178	131	601
179	131	600
180	132	598
181	132	597
182	133	595
183	133	593
184	134	590
185	135	591
186	135	589
187	135	586
188	136	584
189	136	583
190	137	582
191	137	580
192	138	578
193	138	576
194	139	574
195	139	573
196	140	574
197	141	572
198	141	571
199	142	568
200	142	566
201	142	564
202	143	562
203	143	560
204	144	559
205	144	557
206	144	555
207	145	553
208	146	552
209	146	550
210	146	549
211	147	547
